tax_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,area_km2,human_pop_total,head_count_sheep_ovins,head_count_goats_caprins,head_count_cattle_bovins,head_count_camels_camelides,head_count_equines_chevaux_mulets,total_livestock_head_count,total_livestock_units_lsu,lsu_per_km2,livestock_per_capita
1936,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,350.0,269640,8439,2519,2520,32,1049,14559,4487.0,12.82,0.05
1936,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,1150.0,98867,21050,8050,10488,128,3236,42952,16114.8,14.01,0.43
1936,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,1200.0,46737,30096,9341,9869,127,4318,53751,17394.1,14.5,1.15
1936,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,650.0,41345,12412,5114,4742,60,2393,24721,8469.0,13.03,0.6
1936,HSU_BEJA,Béja,باجة,North-West,1800.0,77297,35165,13205,11866,166,5645,66047,21385.0,11.88,0.85
1936,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,1250.0,50333,25960,9905,10320,132,4672,50989,17776.1,14.22,1.01
1936,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,850.0,32357,17952,5807,5821,75,3427,33082,11013.5,12.96,1.02
1936,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,1400.0,64713,26611,8663,9050,162,4763,49249,16549.8,11.82,0.76
1936,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,750.0,44940,19074,4788,5328,85,2698,31973,9957.6,13.28,0.71
1936,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,600.0,32357,13939,4133,5453,50,2453,26028,9272.6,15.45,0.8
1936,HSU_TABARKA,Tabarka,طبرقة,North-West,700.0,28761,12566,4508,5443,63,2548,25128,9251.8,13.22,0.87
1936,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,800.0,32357,20275,5555,6246,88,3326,35490,11577.8,14.47,1.1
1936,HSU_LE_KEF,Le Kef,الكاف,North-West,1900.0,64714,45646,15800,13315,168,7820,82749,25883.6,13.62,1.28
1936,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,1300.0,43142,28257,8882,9734,152,5260,52285,17807.9,13.7,1.21
1936,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,900.0,41345,21542,6980,6538,76,3200,38336,12026.2,13.36,0.93
1936,HSU_SERS,Le Sers,السرس,North-West,850.0,32357,15858,5974,6936,73,2404,31245,11115.4,13.08,0.97
1936,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,950.0,50333,19061,6703,8360,86,2726,36936,13203.2,13.9,0.73
1936,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,600.0,70106,14045,4973,5165,59,2461,26703,9094.6,15.16,0.38
1936,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,550.0,41345,12971,3788,4646,56,2256,23717,8182.7,14.88,0.57
1936,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,750.0,68308,15378,5733,6408,77,2583,30179,10662.5,14.22,0.44
1936,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,2750.0,44940,61468,15785,17600,242,8085,103180,32035.3,11.65,2.3
1936,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,1400.0,142011,25502,15400,3814,564,3080,48360,10932.2,7.81,0.34
1936,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,1050.0,104261,22151,12558,3515,381,2754,41359,9570.1,9.11,0.4
1936,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,1600.0,73702,29376,16960,5299,530,3252,55417,13064.2,8.17,0.75
1936,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,950.0,7190,18810,7866,2280,319,1797,31072,6704.2,7.06,4.32
1936,HSU_KAIROUAN,Kairouan,القيروان,Center-West,4200.0,93475,138600,65621,5569,10164,7106,227060,41839.9,9.96,2.43
