census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,pop_urban_commune,pop_european_total,share_european,share_french,share_italian,share_maltese,share_jewish,share_muslim,ratio_italian_to_french,urbanization_rate,sex_ratio,persons_per_household,pop_density,log_pop_total,log_pop_density,ethno_fractionalization
1921,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,25976,24688,81,828,327,36,16,13300,12676,5093,2886,1207,0.04647,0.03188,0.01259,0.00139,0.00312,0.95042,0.3949,0.1111,1.0492,5.1,43.29,10.1649,3.768,0.0955
1926,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,26792,25327,84,948,373,42,18,13717,13075,5254,2977,1381,0.05155,0.03538,0.01392,0.00157,0.00314,0.94532,0.3935,0.11112,1.0491,5.1,44.65,10.1959,3.7989,0.1049
1931,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,29905,28084,93,1185,468,52,23,15311,14594,5864,3323,1728,0.05778,0.03963,0.01565,0.00174,0.00311,0.93911,0.3949,0.11112,1.0491,5.1,49.84,10.3058,3.9089,0.1162
1936,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,32357,30210,111,1397,551,61,27,16567,15790,6345,3595,2036,0.06292,0.04317,0.01703,0.00189,0.00343,0.93365,0.3944,0.1111,1.0492,5.1,53.93,10.3846,3.9877,0.1261
1946,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,40080,37427,137,1725,684,75,32,20521,19559,7859,4453,2516,0.06277,0.04304,0.01707,0.00187,0.00342,0.93381,0.3965,0.1111,1.0492,5.1,66.8,10.5986,4.2017,0.1258
1956,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,46932,43802,139,2048,816,89,38,24029,22903,9203,5215,2991,0.06373,0.04364,0.01739,0.0019,0.00296,0.93331,0.3984,0.11112,1.0492,5.1,78.22,10.7565,4.3595,0.1267
1921,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,62054,57694,845,2058,1282,124,51,31772,30282,12168,11545,3515,0.05664,0.03316,0.02066,0.002,0.01362,0.92974,0.6229,0.18605,1.0492,5.1,34.47,11.0358,3.5402,0.1339
1926,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,64002,59110,870,2354,1467,141,60,32769,31233,12550,11907,4022,0.06284,0.03678,0.02292,0.0022,0.01359,0.92356,0.6232,0.18604,1.0492,5.1,35.56,11.0667,3.5711,0.145
1931,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,71440,65436,971,2946,1836,176,75,36577,34863,14008,13291,5033,0.07045,0.04124,0.0257,0.00246,0.01359,0.91596,0.6232,0.18604,1.0492,5.1,39.69,11.1766,3.6811,0.1585
1936,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,77297,70214,1157,3469,2160,207,90,39576,37721,15156,14381,5926,0.07667,0.04488,0.02794,0.00268,0.01497,0.90837,0.6227,0.18605,1.0492,5.1,42.94,11.2554,3.7599,0.1718
