census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_total,num_households,total_dwellings_enumerated,masonry_houses_urban,rural_gourbis,nomadic_tents,troglodytic_dwellings,share_masonry_dwellings,share_rural_gourbis,share_nomadic_tents,share_troglodytic_dwellings,avg_persons_per_dwelling
1936,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,269640,52871,50756,39590,9136,2030,0,0.78,0.18,0.04,0.0,5.31
1936,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,98867,19386,18611,14517,3350,744,0,0.78,0.18,0.04,0.0,5.31
1936,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,46737,9164,8797,2815,5278,704,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,41345,8106,7782,2490,4669,623,0,0.32,0.6,0.0801,0.0,5.31
1936,HSU_BEJA,Béja,باجة,North-West,77297,15156,14550,4656,8730,1164,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,50333,9868,9473,3031,5684,758,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,32357,6345,6091,1949,3655,487,0,0.32,0.6001,0.08,0.0,5.31
1936,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,64713,12689,12181,3898,7309,974,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,44940,8812,8460,2707,5076,677,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,32357,6345,6091,1949,3655,487,0,0.32,0.6001,0.08,0.0,5.31
1936,HSU_TABARKA,Tabarka,طبرقة,North-West,28761,5640,5414,1732,3248,433,1,0.3199,0.5999,0.08,0.0002,5.31
1936,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,32357,6345,6091,1949,3655,487,0,0.32,0.6001,0.08,0.0,5.31
1936,HSU_LE_KEF,Le Kef,الكاف,North-West,64714,12689,12181,3898,7309,974,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,43142,8459,8121,2599,4873,650,-1,0.32,0.6,0.08,-0.0001,5.31
1936,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,41345,8106,7782,2490,4669,623,0,0.32,0.6,0.0801,0.0,5.31
1936,HSU_SERS,Le Sers,السرس,North-West,32357,6345,6091,1949,3655,487,0,0.32,0.6001,0.08,0.0,5.31
1936,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,50333,9869,9474,3032,5684,758,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,70106,13746,13196,4223,7918,1056,-1,0.32,0.6,0.08,-0.0001,5.31
1936,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,41345,8106,7782,2490,4669,623,0,0.32,0.6,0.0801,0.0,5.31
1936,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,68308,13394,12858,4115,7715,1029,-1,0.32,0.6,0.08,-0.0001,5.31
1936,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,44940,8811,8459,2707,5075,677,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,142011,27846,26732,20851,4812,1069,0,0.78,0.18,0.04,0.0,5.31
1936,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,104261,20443,19625,6280,11775,1570,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,73702,14451,13873,4439,8324,1110,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,7190,1410,1354,433,812,108,1,0.3198,0.5997,0.0798,0.0007,5.31
1936,HSU_KAIROUAN,Kairouan,القيروان,Center-West,93475,18329,17596,5631,10558,1408,-1,0.32,0.6,0.08,-0.0001,5.31
