survey_year,loc_id,locality_name_fr,locality_name_ar,hsu_id,pop_jewish_estimated,households_estimated,synagogues_counted,historical_notes,primary_source
1862,TN_JEW_TUNIS_HARA,Tunis (Hara & Médina),تونس,HSU_TUNIS,22000,4200,24,"Grande communauté, Baté Din, caïd des Juifs (Nissim Samama)","Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_LA_GOULETTE,La Goulette,حلق الوادي,HSU_TUNIS,850,160,2,Marchands italiens et tunisiens du port,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_ARIANA,Ariana,أريانة,HSU_TUNIS,350,68,1,Maraîchers et tailleurs,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_BIZERTE,Bizerte,بنزرت,HSU_BIZERTE,1200,230,2,Pêche et négoce maritime,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MATEUR,Mateur,ماطر,HSU_BIZERTE,220,42,1,Marchands de grains,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_BEJA,Béja,باجة,HSU_BEJA,650,125,2,Blés du Tell et orfèvrerie,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TESTOUR,Testour,تستور,HSU_BEJA,180,35,1,Artisans et drapiers,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MEDJEZ_EL_BAB,Medjez el-Bab,مجاز الباب,HSU_BEJA,190,36,1,Passage de la Medjerda,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_LE_KEF,Le Kef,الكاف,HSU_LE_KEF,580,110,2,Horlogers et bijoutiers sous la protection du Beylik,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TEBOURSOUK,Téboursouk,تبرسق,HSU_TEBOURSOUK,110,21,1,Négoce de l'huile,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_NABEUL,Nabeul,نابل,HSU_NABEUL,1150,220,3,"Potiers, distillateurs et brodeurs","Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SOUSSE,Sousse,سوسة,HSU_SOUSSE,2100,400,3,Exportateurs d'huile d'olive vers Marseille et Livourne,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MONASTIR,Monastir,المنستير,HSU_MONASTIR,120,23,1,Tisseurs de soie,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MAHDIA,Mahdia,المهدية,HSU_MAHDIA,320,61,1,Pêcheurs et tisseurs,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MOKNINE,Moknine,مكنين,HSU_MOKNINE,480,92,2,Orfèvres et forgerons de bijoux bédouins,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SFAX,Sfax,صفاقس,HSU_SFAX,2300,440,4,Huile d'olive et commerce d'exportation,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GAFSA,Gafsa,قفصة,HSU_GAFSA,420,80,1,Oasis et caravanes sahariennes,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TOZEUR,Tozeur,توزر,HSU_TOZEUR,140,27,1,Commerce de dattes,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_NEFTA,Nefta,نفطة,HSU_TOZEUR,110,21,1,Caravanes du Souf et dattes,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GABES_JARA,Gabès (Jara),قابس (جارة),HSU_GABES,1150,220,3,Marché d'oasis et henné,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_DJERBA_HARA_KEBIRA,Djerba (Hara Kébira),جربة (الحارة الكبيرة),HSU_DJERBA,2600,500,8,"Communauté sacerdotale (Cohanim), bijoutiers filigrane","Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_DJERBA_HARA_SGHIRA,Djerba (Hara Sghira - Ghriba),جربة (الحارة الصغيرة),HSU_DJERBA,920,175,4,Lieu saint de la Ghriba,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_ZARZIS,Zarzis,جرجيس,HSU_MEDENINE,550,105,2,Pêcheurs d'éponges et huiles,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_BEN_GARDANE,Ben Gardane,بن قردان,HSU_MEDENINE,210,40,1,Caravanes tripolitaines,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
