census_year,loc_id,locality_name_fr,locality_name_ar,hsu_id,region_macro,latitude,longitude,pop_jewish_total,pop_jewish_tunisian,pop_jewish_french,pop_jewish_italian,pop_jewish_other_foreign,source_publication
1862,TN_JEW_TUNIS_HARA,Tunis (La Hara - Médina),تونس (الحارة),HSU_TUNIS,North-East,36.8015,10.1695,13168,12510,0,658,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TUNIS_VILLE_NOUVELLE,Tunis (Ville Nouvelle / Lafayette),تونس (المدينة الحديثة),HSU_TUNIS,North-East,36.8085,10.1795,5844,5552,0,292,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_LA_GOULETTE,La Goulette,حلق الوادي,HSU_TUNIS,North-East,36.8181,10.305,1372,1372,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_ARIANA,Ariana,أريانة,HSU_TUNIS,North-East,36.8625,10.1956,523,523,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_LA_MARSA,La Marsa,المرسى,HSU_TUNIS,North-East,36.8781,10.3247,293,293,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_HAMMAM_LIF,Hammam-Lif,حمام الأنف,HSU_TUNIS,North-East,36.7297,10.3392,434,434,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_NABEUL,Nabeul,نابل,HSU_NABEUL,North-East,36.4561,10.7376,1327,1327,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_HAMMAMET,Hammamet,الحمامات,HSU_NABEUL,North-East,36.4,10.6167,115,115,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GROMBALIA,Grombalia,قرمبالية,HSU_CAP_BON,North-East,36.6,10.5,185,185,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SOLIMAN,Soliman,سليمان,HSU_CAP_BON,North-East,36.6947,10.4908,89,89,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MENZEL_BOUZELFA,Menzel Bouzelfa,منزل بوزلفة,HSU_CAP_BON,North-East,36.6833,10.5833,70,70,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_BIZERTE,Bizerte,بنزرت,HSU_BIZERTE,North-West,37.2744,9.8739,1691,1691,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MATEUR,Mateur,ماطر,HSU_BIZERTE,North-West,37.04,9.665,268,268,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_BEJA,Béja,باجة,HSU_BEJA,North-West,36.7256,9.1817,715,715,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MEDJEZ_EL_BAB,Medjez el-Bab,مجاز الباب,HSU_BEJA,North-West,36.6497,9.6108,198,198,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TESTOUR,Testour,تستور,HSU_BEJA,North-West,36.5542,9.4456,172,172,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SOUK_EL_ARBA,Souk el-Arba (Jendouba),سوق الأربعاء (جندوبة),HSU_JENDOUBA,North-West,36.5011,8.7803,249,249,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TABARKA,Tabarka,طبرقة,HSU_JENDOUBA,North-West,36.9544,8.7581,83,83,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_LE_KEF,Le Kef,الكاف,HSU_LE_KEF,North-West,36.1822,8.7147,612,612,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TEBOURSOUK,Téboursouk,تبرسق,HSU_TEBOURSOUK,North-West,36.4578,9.2483,121,121,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_ZAGHOUAN,Zaghouan,زغوان,HSU_ZAGHOUAN,North-West,36.4028,10.1428,118,118,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SOUSSE,Sousse,سوسة,HSU_SOUSSE,Sahel/Center-East,35.8256,10.6369,2501,2376,0,125,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MONASTIR,Monastir,المنستير,HSU_MONASTIR,Sahel/Center-East,35.7778,10.8261,134,134,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MAHDIA,Mahdia,المهدية,HSU_MAHDIA,Sahel/Center-East,35.5047,11.0622,345,345,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_MOKNINE,Moknine,مكنين,HSU_MOKNINE,Sahel/Center-East,35.6267,10.9022,561,561,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_KAIROUAN,Kairouan,القيروان,HSU_KAIROUAN,Center-West,35.6781,10.0964,293,293,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SFAX,Sfax,صفاقس,HSU_SFAX,Sahel/Center-East,34.7406,10.7603,2648,2516,0,132,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GAFSA,Gafsa,قفصة,HSU_GAFSA,Center-West,34.425,8.7842,504,504,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SBEITLA,Sbeïtla,سبيطلة,HSU_KASSERINE,Center-West,35.2333,9.1333,54,54,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_SIDI_BOUZID,Sidi Bouzid,سيدي بوزيد,HSU_SIDI_BOUZID,Center-West,35.0381,9.4858,41,41,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GABES_JARA,Gabès (Jara),قابس (جارة),HSU_GABES,South,33.8815,10.0982,1234,1234,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_GABES_MENZEL,Gabès (Menzel),قابس (منزل),HSU_GABES,South,33.872,10.105,547,547,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_TOZEUR,Tozeur,توزر,HSU_TOZEUR,South,33.9197,8.1336,140,140,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_NEFTA,Nefta,نفطة,HSU_TOZEUR,South,33.8731,7.8778,117,117,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_KEBILI,Kébili,قبلي,HSU_KEBILI,South,33.7044,8.9692,80,80,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
1862,TN_JEW_DJERBA_HARA_KEBIRA,Djerba (Hara Kébira - Houmt Souk),جربة (الحارة الكبيرة),HSU_DJERBA,South,33.8767,10.855,2081,2081,0,0,0,"Victor Guérin, Voyage archéologique dans la Régence de Tunis, Paris: Plon, 1862 (ark:/12148/bpt6k10492823)"
