loc_id,locality_name_fr,locality_name_ar,hsu_id,region_macro,latitude,longitude,census_year,census_date,pop_jewish_total,pop_jewish_tunisian_twansa,pop_jewish_french_naturalized,pop_jewish_italian_grana,pop_jewish_other_foreign,pop_jewish_male,pop_jewish_female,sex_ratio,jewish_households,avg_persons_per_household,active_labor_force_jewish,synagogues_count,rabbinical_court_beit_din,aiu_schools_present,aiu_pupils_enrolled,economic_specialization,data_source_citation
TN_JEW_TUNIS_HARA,Tunis (La Hara - Médina),تونس (الحارة),HSU_TUNIS,North-East,36.8015,10.1695,1936,1936-03-12,25800,24100,1100,450,150,12771,13029,0.98,5432,4.75,9804,14,1,1,1280,"Artisanat, friperie, orfèvrerie, petit commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TUNIS_VILLE_NOUVELLE,Tunis (Ville Nouvelle / Lafayette),تونس (المدينة الحديثة),HSU_TUNIS,North-East,36.8085,10.1795,1936,1936-03-12,11450,6800,3150,1250,250,5668,5782,0.98,2411,4.75,4351,3,1,1,950,"Professions libérales, négoce, banque, administration","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_LA_GOULETTE,La Goulette,حلق الوادي,HSU_TUNIS,North-East,36.8181,10.305,1936,1936-03-12,2150,1620,310,190,30,1064,1086,0.98,453,4.75,817,2,0,1,240,"Pêche, transit maritime, commerce de détail","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_ARIANA,Ariana,أريانة,HSU_TUNIS,North-East,36.8625,10.1956,1936,1936-03-12,820,710,75,30,5,406,414,0.981,173,4.74,312,1,0,0,0,"Agriculture périurbaine, artisanat, commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_LA_MARSA,La Marsa,المرسى,HSU_TUNIS,North-East,36.8781,10.3247,1936,1936-03-12,460,320,95,40,5,228,232,0.983,97,4.74,175,1,0,0,0,"Services, villégiature, commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_HAMMAM_LIF,Hammam-Lif,حمام الأنف,HSU_TUNIS,North-East,36.7297,10.3392,1936,1936-03-12,680,510,115,45,10,337,343,0.983,143,4.76,258,1,0,0,0,"Commerce thermal, services, artisanat","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_NABEUL,Nabeul,نابل,HSU_NABEUL,North-East,36.4561,10.7376,1936,1936-03-12,2080,1940,85,45,10,1030,1050,0.981,438,4.75,790,6,0,1,290,"Poterie, broderie dentelle, distillation fleurs d'oranger","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_HAMMAMET,Hammamet,الحمامات,HSU_NABEUL,North-East,36.4,10.6167,1936,1936-03-12,180,160,15,5,0,89,91,0.978,38,4.74,68,1,0,0,0,"Pêche, horticulture, commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_GROMBALIA,Grombalia,قرمبالية,HSU_CAP_BON,North-East,36.6,10.5,1936,1936-03-12,290,240,35,12,3,144,146,0.986,61,4.75,110,1,0,0,0,"Viticulture, courtage agricole, quincaillerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SOLIMAN,Soliman,سليمان,HSU_CAP_BON,North-East,36.6947,10.4908,1936,1936-03-12,140,125,10,5,0,69,71,0.972,29,4.83,53,1,0,0,0,"Agriculture maraîchère, commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MENZEL_BOUZELFA,Menzel Bouzelfa,منزل بوزلفة,HSU_CAP_BON,North-East,36.6833,10.5833,1936,1936-03-12,110,98,8,4,0,54,56,0.964,23,4.78,42,1,0,0,0,"Agrumes, arboriculture, commerce de bestiaux","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_BIZERTE,Bizerte,بنزرت,HSU_BIZERTE,North-West,37.2744,9.8739,1936,1936-03-12,2650,2180,310,130,30,1312,1338,0.981,558,4.75,1007,4,1,1,380,"Commerce portuaire, orfèvrerie, avitaillement naval","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MATEUR,Mateur,ماطر,HSU_BIZERTE,North-West,37.04,9.665,1936,1936-03-12,420,365,38,14,3,208,212,0.981,88,4.77,160,1,0,0,0,"Négoce de céréales, bétail, confection","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_BEJA,Béja,باجة,HSU_BEJA,North-West,36.7256,9.1817,1936,1936-03-12,1120,980,95,35,10,554,566,0.979,236,4.75,426,2,1,1,180,"Négoce des blés du Tell, cuirs, orfèvrerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
