census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_european_total,pop_french,pop_italian,pop_maltese,pop_other_european,ratio_italian_to_french,data_scope
1891,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,245,96,88,50,11,0.9167,European Census Only
1896,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,451,155,230,51,15,1.4839,European Census Only
1901,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,612,232,300,60,20,1.2931,European Census Only
1906,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,873,390,400,61,22,1.0256,European Census Only
1911,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,1044,519,434,66,25,0.8362,European Census Only
1921,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,1207,828,327,36,16,0.3949,General Census (Simultaneous)
1926,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,1381,948,373,42,18,0.3935,General Census (Simultaneous)
1931,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,1728,1185,468,52,23,0.3949,General Census (Simultaneous)
1936,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,2036,1397,551,61,27,0.3944,General Census (Simultaneous)
1946,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,2516,1725,684,75,32,0.3965,General Census (Simultaneous)
1956,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,2991,2048,816,89,38,0.3984,General Census (Simultaneous)
1891,HSU_BEJA,Béja,باجة,North-West,786,237,346,172,31,1.4599,European Census Only
1896,HSU_BEJA,Béja,باجة,North-West,1508,386,903,176,43,2.3394,European Census Only
1901,HSU_BEJA,Béja,باجة,North-West,2017,576,1175,207,59,2.0399,European Census Only
1906,HSU_BEJA,Béja,باجة,North-West,2810,969,1567,209,65,1.6171,European Census Only
1911,HSU_BEJA,Béja,باجة,North-West,3292,1290,1701,229,72,1.3186,European Census Only
1921,HSU_BEJA,Béja,باجة,North-West,3515,2058,1282,124,51,0.6229,General Census (Simultaneous)
1926,HSU_BEJA,Béja,باجة,North-West,4022,2354,1467,141,60,0.6232,General Census (Simultaneous)
1931,HSU_BEJA,Béja,باجة,North-West,5033,2946,1836,176,75,0.6232,General Census (Simultaneous)
1936,HSU_BEJA,Béja,باجة,North-West,5926,3469,2160,207,90,0.6227,General Census (Simultaneous)
