aiu_institution_id,institution_name,hsu_id,year_founded,period_active,enrolled_boys_1936,enrolled_girls_1936,total_pupils_1936,teachers_count_1936,pedagogical_profile,gallica_source_citation
AIU_TUNIS_GARCONS,Tunis (École de garçons - Diderot),HSU_TUNIS,1878,1878-1955,1280,0,1280,32,Première école de l'AIU en Tunisie fondée par David Cazès,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_TUNIS_FILLES,Tunis (École de filles - Louise de Rothschild),HSU_TUNIS,1882,1882-1955,0,1150,1150,28,Enseignement moderne féminin et formation ménagère,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_TUNIS_TRAVAIL,Tunis (École de travail / Métiers manuels),HSU_TUNIS,1895,1895-1955,240,0,240,12,"Apprentissage : menuiserie, cordonnerie, électricité, forge",Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_LA_GOULETTE,La Goulette,HSU_TUNIS,1904,1904-1955,140,120,260,7,École mixte pour les enfants du port,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_BIZERTE,Bizerte,HSU_BIZERTE,1898,1898-1955,210,170,380,10,Section commerciale et maritime,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_BEJA,Béja,HSU_BEJA,1908,1908-1955,110,80,190,5,Enseignement primaire franco-hébraïque,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_LE_KEF,Le Kef,HSU_LE_KEF,1910,1910-1952,95,75,170,4,École pour la communauté montagnarde du Kef,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_NABEUL,Nabeul,HSU_NABEUL,1905,1905-1955,160,130,290,8,Formation aux métiers de la poterie et de la dentelle,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_SOUSSE,Sousse,HSU_SOUSSE,1884,1884-1955,260,200,460,12,Deuxième centre de l'AIU en Tunisie après Tunis,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_MAHDIA,Mahdia,HSU_MAHDIA,1911,1911-1950,60,40,100,3,École primaire communautaire,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_MOKNINE,Moknine,HSU_MOKNINE,1913,1913-1955,85,55,140,4,Formation orfèvrerie et bijouterie traditionnelle,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_SFAX,Sfax,HSU_SFAX,1905,1905-1955,290,230,520,14,Grand centre scolaire du Sud-Est,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_GABES,Gabès,HSU_GABES,1910,1910-1955,135,95,230,6,École de l'oasis de Jara,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_DJERBA,Djerba (Houmt Souk),HSU_DJERBA,1912,1912-1955,240,150,390,10,École créée après longues négociations avec le rabbinat traditionaliste,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
AIU_ZARZIS,Zarzis,HSU_MEDENINE,1920,1920-1955,80,60,140,4,Poste scolaire avancé du Sud maritime,Bulletins périodiques et statistiques scolaires de l'Alliance Israélite Universelle (ark:/12148/cb327027387)
