hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total_1921,share_european_1921,share_french_1921,share_italian_1921,share_jewish_1921,pop_density_1921,urbanization_rate_1921,pop_total_1926,share_european_1926,share_french_1926,share_italian_1926,share_jewish_1926,pop_density_1926,urbanization_rate_1926,pop_total_1931,share_european_1931,share_french_1931,share_italian_1931,share_jewish_1931,pop_density_1931,urbanization_rate_1931,pop_total_1936,share_european_1936,share_french_1936,share_italian_1936,share_jewish_1936,pop_density_1936,urbanization_rate_1936,pop_total_1946,share_european_1946,share_french_1946,share_italian_1946,share_jewish_1946,pop_density_1946,urbanization_rate_1946,pop_total_1956,share_european_1956,share_french_1956,share_italian_1956,share_jewish_1956,pop_density_1956,urbanization_rate_1956,growth_pop_1921_1936,growth_pop_1936_1956,delta_share_eur_1921_1936
HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,600.0,25976,0.04647,0.03188,0.01259,0.00312,43.29,0.1111,26792,0.05155,0.03538,0.01392,0.00314,44.65,0.11112,29905,0.05778,0.03963,0.01565,0.00311,49.84,0.11112,32357,0.06292,0.04317,0.01703,0.00343,53.93,0.1111,40080,0.06277,0.04304,0.01707,0.00342,66.8,0.1111,46932,0.06373,0.04364,0.01739,0.00296,78.22,0.11112,24.56,45.04,0.0165
HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,62054,0.05664,0.03316,0.02066,0.01362,34.47,0.18605,64002,0.06284,0.03678,0.02292,0.01359,35.56,0.18604,71440,0.07045,0.04124,0.0257,0.01359,39.69,0.18604,77297,0.07667,0.04488,0.02794,0.01497,42.94,0.18605,95749,0.07589,0.04406,0.02803,0.01497,53.19,0.18605,112113,0.07657,0.04419,0.02855,0.01292,62.28,0.18604,24.56,45.04,0.02
HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,79371,0.17801,0.09328,0.07494,0.01637,69.02,0.54545,81864,0.19755,0.10353,0.08315,0.01636,71.19,0.54545,91378,0.22142,0.11603,0.09321,0.01636,79.46,0.54546,98867,0.24097,0.12627,0.10143,0.018,85.97,0.54545,122469,0.25407,0.1334,0.10668,0.018,106.49,0.54545,143401,0.26772,0.14075,0.11222,0.01555,124.7,0.54546,24.56,45.04,0.063
HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,40407,0.08932,0.03455,0.05088,0.00767,42.53,0.10713,41676,0.09912,0.03834,0.05646,0.00768,43.87,0.10714,46519,0.11109,0.04299,0.06329,0.0077,48.97,0.10714,50333,0.12091,0.04679,0.06888,0.00844,52.98,0.10715,62348,0.11211,0.0435,0.06369,0.00844,65.63,0.10714,73004,0.10758,0.04182,0.061,0.0073,76.85,0.10714,24.57,45.04,0.0316
HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,34634,0.0205,0.01129,0.0082,0.00199,26.64,0.0,35722,0.02276,0.01251,0.0091,0.00199,27.48,0.0,39874,0.02551,0.01402,0.01021,0.00201,30.67,0.0,43142,0.02775,0.01525,0.0111,0.0022,33.19,0.0,53441,0.02375,0.01306,0.00951,0.00221,41.11,0.0,62575,0.02125,0.0117,0.0085,0.0019,48.13,0.0,24.57,45.04,0.0072
HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,37521,0.00821,0.0037,0.0041,0.002,31.27,0.0,38699,0.0091,0.00408,0.00455,0.00199,32.25,0.0,43196,0.01021,0.00458,0.00509,0.00199,36.0,0.0,46738,0.0111,0.00501,0.00556,0.0022,38.95,0.0,57894,0.0095,0.00428,0.00475,0.00219,48.24,0.0,67789,0.0085,0.00382,0.00425,0.0019,56.49,0.0,24.56,45.04,0.0029
HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,44737,0.0262,0.01227,0.01279,0.10805,87.04,0.1613,46141,0.02906,0.01361,0.01417,0.10806,89.77,0.16129,51503,0.03258,0.01524,0.01588,0.10807,100.2,0.16129,55726,0.03544,0.0166,0.0173,0.11887,108.42,0.16129,69028,0.0348,0.01634,0.01694,0.11886,134.3,0.1613,80825,0.03488,0.01642,0.01695,0.10267,157.25,0.16129,24.56,45.04,0.0092
HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,31748,0.02013,0.00932,0.00989,0.00365,35.28,0.0909,32746,0.02232,0.01035,0.01096,0.00363,36.38,0.09091,36551,0.02503,0.0116,0.01228,0.00364,40.61,0.09091,39547,0.02726,0.01264,0.0134,0.00402,43.94,0.0909,48987,0.02584,0.01202,0.01268,0.004,54.43,0.0909,57361,0.02523,0.01175,0.01233,0.00347,63.73,0.09092,24.57,45.05,0.0071
HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,5772,0.14761,0.09598,0.04435,0.00502,6.08,1.0,5954,0.16376,0.10648,0.04904,0.00504,6.27,1.0,6646,0.18357,0.11932,0.05507,0.00497,7.0,1.0,7190,0.19986,0.1299,0.05994,0.00556,7.57,1.0,8907,0.21242,0.13809,0.06377,0.0055,9.38,1.0,10429,0.22505,0.14632,0.0675,0.00479,10.98,1.0,24.57,45.05,0.0523
HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,47623,0.05617,0.03053,0.02272,0.0294,6.71,0.24242,49118,0.06232,0.03386,0.0252,0.0294,6.92,0.24242,54826,0.06986,0.03796,0.02825,0.02938,7.72,0.24242,59321,0.07603,0.04132,0.03075,0.03233,8.36,0.24243,73482,0.07734,0.04211,0.03122,0.03233,10.35,0.24243,86040,0.07954,0.04336,0.03207,0.02792,12.12,0.24242,24.56,45.04,0.0199
