vital_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_estimated_total,births_muslim,births_jewish,births_french,births_italian,births_other_european,births_total,deaths_muslim,deaths_jewish,deaths_french,deaths_italian,deaths_other_european,deaths_total,infant_deaths_under1,marriages_recorded,crude_birth_rate_per_1000,crude_death_rate_per_1000,infant_mortality_rate_per_1000,rate_of_natural_increase_pct
1911,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,183997,4423,487,624,646,91,6271,2561,229,300,311,45,3446,868,1380,34.08,18.73,138.4,1.54
1911,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,67465,2065,35,157,137,17,2411,1196,17,76,66,9,1364,367,506,35.74,20.22,152.2,1.55
1911,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,31891,1134,9,23,20,2,1188,656,4,11,10,1,682,191,239,37.25,21.39,160.8,1.59
1911,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,28212,985,11,22,26,3,1047,570,5,11,13,1,600,167,212,37.11,21.27,159.5,1.58
1911,HSU_BEJA,Béja,باجة,North-West,52746,2060,23,44,29,4,2160,1275,11,21,14,2,1323,347,396,40.95,25.08,160.6,1.59
1911,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,34345,1333,11,32,23,3,1402,825,5,15,11,1,857,225,258,40.82,24.95,160.5,1.59
1911,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,22080,915,1,4,3,0,923,566,0,2,1,0,569,152,166,41.8,25.77,164.7,1.6
1911,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,44159,1752,11,31,20,3,1817,1085,5,15,10,1,1116,294,331,41.15,25.27,161.8,1.59
1911,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,30665,1254,2,12,6,1,1275,776,1,6,3,0,786,208,230,41.58,25.63,163.1,1.59
1911,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,22080,881,2,18,8,1,910,546,1,8,4,1,560,148,166,41.21,25.36,162.6,1.59
1911,HSU_TABARKA,Tabarka,طبرقة,North-West,19625,770,3,16,13,2,804,477,2,8,6,1,494,130,147,40.97,25.17,161.7,1.58
1911,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,22079,910,1,5,4,0,920,563,1,3,2,0,569,151,166,41.67,25.77,164.1,1.59
1911,HSU_LE_KEF,Le Kef,الكاف,North-West,44159,1752,16,27,20,3,1818,1085,8,13,10,1,1117,294,331,41.17,25.29,161.7,1.59
1911,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,29439,1209,2,8,7,1,1227,748,1,4,3,0,756,201,221,41.68,25.68,163.8,1.6
1911,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,28212,1140,7,11,10,1,1169,706,3,5,5,1,720,190,212,41.44,25.52,162.5,1.59
1911,HSU_SERS,Le Sers,السرس,North-West,22080,910,1,5,3,0,919,563,1,3,2,0,569,151,166,41.62,25.77,164.3,1.59
1911,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,34347,1179,8,30,47,3,1267,682,4,14,23,2,725,201,258,36.89,21.11,158.6,1.58
1911,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,47839,1659,51,31,34,3,1778,960,24,15,16,2,1017,283,359,37.17,21.26,159.2,1.59
1911,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,28213,1011,5,15,21,2,1054,585,2,7,10,1,605,170,212,37.36,21.44,161.3,1.59
1911,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,46612,1703,13,15,20,2,1753,986,6,7,10,1,1010,285,350,37.61,21.67,162.6,1.59
1911,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,30666,1103,5,20,16,2,1146,638,2,10,8,1,659,185,230,37.37,21.49,161.4,1.59
1911,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,96905,3287,73,90,107,14,3571,1903,34,43,52,7,2039,564,727,36.85,21.04,157.9,1.58
1911,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,71146,2609,29,18,20,2,2678,1511,14,9,10,1,1545,436,534,37.64,21.72,162.8,1.59
1911,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,50292,1829,16,18,23,2,1888,1059,7,9,11,1,1087,306,377,37.54,21.61,162.1,1.59
1911,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,4907,158,1,12,6,1,178,91,0,6,3,0,100,28,37,36.27,20.38,157.3,1.59
1911,HSU_KAIROUAN,Kairouan,القيروان,Center-West,63785,2572,22,25,20,2,2641,1592,10,12,10,1,1625,430,478,41.4,25.48,162.8,1.59
1911,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,34347,1298,1,2,2,0,1303,752,1,1,1,0,755,215,258,37.94,21.98,165.0,1.6
1911,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,33119,1347,4,13,10,1,1375,834,2,6,5,1,848,224,248,41.52,25.6,162.9,1.59
1911,HSU_THALA,Thala,تالة,Center-West,34346,1408,4,11,7,1,1431,871,2,5,3,0,881,234,258,41.66,25.65,163.5,1.6
1911,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,26985,1118,1,5,3,0,1127,692,0,2,2,0,696,185,202,41.76,25.79,164.2,1.6
1911,HSU_KASSERINE,Kasserine,القصرين,Center-West,22079,919,1,3,2,0,925,569,0,1,1,0,571,152,166,41.9,25.86,164.3,1.6
1911,HSU_SFAX,Sfax,صفاقس,South,88317,3303,79,86,91,11,3570,2045,37,41,44,5,2172,565,662,40.42,24.59,158.3,1.58
1911,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,31893,1326,2,3,4,0,1335,821,1,1,2,0,825,219,239,41.86,25.87,164.0,1.6
1911,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,26987,1001,3,6,7,1,1018,580,1,3,3,0,587,166,202,37.72,21.75,163.1,1.6
1911,HSU_KERKENNAH,Kerkennah,قرقنة,South,9813,410,0,0,1,0,411,254,0,0,0,0,254,68,74,41.88,25.88,165.5,1.6
1911,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,47839,1812,30,45,48,5,1940,1122,14,21,23,3,1183,309,359,40.55,24.73,159.3,1.58
1911,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,34348,1380,22,11,8,1,1422,854,10,5,4,1,874,231,258,41.4,25.45,162.4,1.6
1911,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,24533,1023,1,2,2,0,1028,633,0,1,1,0,635,169,184,41.9,25.88,164.4,1.6
