census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,active_labor_force_total,active_tunisian_muslim,active_tunisian_jewish,active_european,active_primary_agriculture,active_secondary_mining_industry,active_secondary_crafts_artisans,active_tertiary_commerce_transport,active_tertiary_public_admin_liberal,share_active_agriculture,share_active_industry_mining,share_active_crafts,share_active_commerce_transport,share_active_public_admin
1936,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,107856,54888,9332,43636,19414,30200,21571,23728,12943,0.18,0.28,0.2,0.22,0.12
1936,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,39547,28865,676,10006,7118,11073,7909,8700,4747,0.18,0.28,0.2,0.22,0.12
1936,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,18695,17047,173,1475,13460,1122,1683,1496,934,0.72,0.06,0.09,0.08,0.05
1936,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,16538,14694,210,1634,11907,992,1488,1323,828,0.72,0.06,0.09,0.08,0.0501
1936,HSU_BEJA,Béja,باجة,North-West,30919,27990,440,2489,22262,1855,2783,2474,1545,0.72,0.06,0.09,0.08,0.05
1936,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,20133,18038,218,1877,14496,1208,1812,1611,1006,0.72,0.06,0.09,0.08,0.05
1936,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,12943,12703,14,226,9319,777,1165,1035,647,0.72,0.06,0.09,0.08,0.05
1936,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,25885,23926,216,1743,18637,1553,2330,2071,1294,0.72,0.06,0.09,0.08,0.05
1936,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,17976,17309,38,629,12943,1079,1618,1438,898,0.72,0.06,0.09,0.08,0.05
1936,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,12943,12046,42,855,9319,777,1165,1035,647,0.72,0.06,0.09,0.08,0.05
1936,HSU_TABARKA,Tabarka,طبرقة,North-West,11504,10449,66,989,8283,690,1035,920,576,0.72,0.06,0.09,0.08,0.0501
1936,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,12943,12614,27,302,9319,777,1165,1035,647,0.72,0.06,0.09,0.08,0.05
1936,HSU_LE_KEF,Le Kef,الكاف,North-West,25886,23962,315,1609,11649,7766,2071,2847,1553,0.45,0.3,0.08,0.11,0.06
1936,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,17257,16718,36,503,12425,1035,1553,1381,863,0.72,0.06,0.09,0.08,0.05
1936,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,16538,15698,128,712,7442,4961,1323,1819,993,0.45,0.3,0.08,0.11,0.06
1936,HSU_SERS,Le Sers,السرس,North-West,12943,12614,27,302,9319,777,1165,1035,647,0.72,0.06,0.09,0.08,0.05
1936,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,20133,17415,162,2556,14496,1208,1812,1611,1006,0.72,0.06,0.09,0.08,0.05
1936,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,28042,24903,977,2162,20190,1683,2524,2243,1402,0.72,0.06,0.09,0.08,0.05
1936,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,16538,15225,98,1215,11907,992,1488,1323,828,0.72,0.06,0.09,0.08,0.0501
1936,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,27323,25909,241,1173,19673,1639,2459,2186,1366,0.72,0.06,0.09,0.08,0.05
1936,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,17976,16641,95,1240,12943,1079,1618,1438,898,0.72,0.06,0.09,0.08,0.05
1936,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,56804,48642,1399,6763,10225,15905,11361,12497,6816,0.18,0.28,0.2,0.22,0.12
1936,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,41704,39841,556,1307,30027,2502,3753,3336,2086,0.72,0.06,0.09,0.08,0.05
1936,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,29481,27789,301,1391,21226,1769,2653,2358,1475,0.72,0.06,0.09,0.08,0.05
1936,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,2876,2257,15,604,2071,173,259,230,143,0.7201,0.0602,0.0901,0.08,0.0497
1936,HSU_KAIROUAN,Kairouan,القيروان,Center-West,37390,35427,421,1542,26921,2243,3365,2991,1870,0.72,0.06,0.09,0.08,0.05
1936,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,20133,19995,21,117,14496,1208,1812,1611,1006,0.72,0.06,0.09,0.08,0.05
1936,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,19414,18558,68,788,13978,1165,1747,1553,971,0.72,0.06,0.09,0.08,0.05
1936,HSU_THALA,Thala,تالة,Center-West,20133,19467,69,597,14496,1208,1812,1611,1006,0.72,0.06,0.09,0.08,0.05
1936,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,15819,15526,17,276,11390,949,1424,1266,790,0.72,0.06,0.09,0.08,0.0499
1936,HSU_KASSERINE,Kasserine,القصرين,Center-West,12943,12778,14,151,9319,777,1165,1035,647,0.72,0.06,0.09,0.08,0.05
1936,HSU_SFAX,Sfax,صفاقس,South,51771,44261,1510,6000,9319,14496,10354,11390,6212,0.18,0.28,0.2,0.22,0.12
1936,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,18695,18438,39,218,13460,1122,1683,1496,934,0.72,0.06,0.09,0.08,0.05
1936,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,15819,15306,60,453,11390,949,1424,1266,790,0.72,0.06,0.09,0.08,0.0499
