census_year,census_date,title,series_title,bnf_notice_id,gallica_ark,gallica_url,publisher,publication_place,publication_year,doc_type,coverage_scope,admin_granularity,variables,notes
1862,1860-1862,Voyage archéologique dans la régence de Tunis (Dénombrement précolonial des localités et tribus),Monographies géographiques et archéologiques (Victor Guérin),cb30551061s,ark:/12148/bpt6k10492823,https://gallica.bnf.fr/ark:/12148/bpt6k10492823,Henri Plon (Paris) / Mission du Ministère de l'Instruction Publique,Paris,1862,precolonial_hearth_and_tribal_survey,national_village_by_village,"caidat,cheikhat,village,douar",hearths_count_feux; estimated_population; houses_gourbis_tents; tribal_fraction_names; water_points,"Exhaustive pre-Protectorate village-by-village reconnaissance enumerating estimated inhabitants, houses, gourbis, and tribal fractions before the 1864 Mejba insurrection."
1881,1881-1885,Rapport au Président de la République sur la situation de la Tunisie (Série continue 1881-1926),Livres Jaunes / Rapports du Ministère des Affaires Étrangères,cb340156707,ark:/12148/bpt6k6460404v,https://gallica.bnf.fr/ark:/12148/bpt6k6460404v,Ministère des Affaires Étrangères (France) / Résidence générale,Paris (Imprimerie Nationale),1882,annual_state_report_demography,national_and_regional,"controle_civil,caidat,commune",pop_estimate_total; pop_european_registered; vital_statistics_births_deaths; marriages; naturalizations,"Official annual reports to the French President with comprehensive chapters on demographic movements, vital registers, and administrative restructuring."
1883,1883-06-01,Compte rendu de la marche des services des Travaux Publics de la Régence de Tunis (1883-1955),Direction générale des travaux publics. Rapports d'ensemble,cb344265778,ark:/12148/cb344265778,https://gallica.bnf.fr/ark:/12148/cb344265778,Imprimerie générale / Direction des travaux publics,Tunis,1884-1955,Infrastructure & Public Works Report,Régence de Tunis (All regions),"Contrôle Civil, Caïdat, Réseau routier et portuaire","Linéaire des routes empierrées et goudronnées par caïdat, réseau des chemins vicinaux, barrages réservoirs, ports de commerce, adduction d'eau potable","Definitive infrastructure serial tracking the physical integration of the protectorate, road network expansion, and public utility investments across 70 years."
1883,1883-1956,"Journal Officiel Tunisien (JOT) : Décrets beylicaux de recensement, délimitations municipales et réorganisations territoriales",Journal officiel de la Régence de Tunis / Journal officiel tunisien,cb344136979,ark:/12148/cb344136979,https://gallica.bnf.fr/ark:/12148/cb344136979,Imprimerie officielle de la Régence de Tunis,Tunis,1883-1956,official_gazette_and_legal_decrees,national_protectorate_wide,"commune,caidat,cheikhat",decree_promulgation_date; official_legal_counts; boundary_modifications; cheikhat_creations; municipal_statutes,"Official journal of the Protectorate publishing Beylical decrees ordering quinquennial censuses, official municipal and caidal population counts, and administrative delimitations."
1883,1883-1956,Statistique de la navigation maritime et du mouvement des ports de la Tunisie,Statistique générale de la Tunisie / Direction des Douanes et de la Navigation,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction des Douanes et de la Navigation Maritime,Tunis,1884,port_navigation_and_maritime_trade_census,all_maritime_ports,"port_maritime,commune",vessels_entered_and_cleared; net_tonnage_jauge_nette; passengers_embarked_disembarked; steam_vs_sailing_ships; cargo_tonnage_by_product,"Exhaustive annual census of maritime vessel traffic, passenger movements, and foreign flags across all Tunisian ports (Tunis-Goulette, Bizerte, Sousse, Sfax, Gabès, Djerba, Tabarka)."
1885,1885-1955,Statistique de la conservation de la propriété foncière (Immatriculation des terres et titres fonciers),Statistique générale de la Tunisie / Journal officiel tunisien,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction des Finances / Conservation de la Propriété Foncière,Tunis,1886,cadastral_land_titling_census,registered_real_estate_properties,"controle_civil,caidat,commune",registered_land_titles_count; registered_acreage_french_settlers; registered_acreage_tunisian_owners; registered_acreage_italian_settlers; mortgage_values_francs; urban_vs_rural_parcels,"Complete annual census of real estate titles issued under the Land Act of 1885 (Torrens system), tracking land commodification and land alienation by caïdat."
1885,1885-01-01,"Statistique des contributions directes et de la fiscalité indigène (Mejba, Kanoun, Achour, Impôt personnel)",Direction générale des finances de la Régence de Tunis,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie officielle,Tunis,1885-1955,Fiscal & Taxation Census,Régence de Tunis (All caïdats and cheikhats),"Caïdat, Cheikhat","Nombre de contribuables à l'impôt personnel (ex-Mejba), recensement fiscal des oliviers imposables au Kanoun, assiette de l'Achour des céréales, rôles d'imposition",Fundamental fiscal proxy for demographic and wealth distribution at the micro-cheikhat level; bridges pre-colonial Mejba registers with modern colonial direct taxation.
1886,1886-1935,"L'Indicateur tunisien : Annuaire administratif, commercial, industriel et agricole de la Régence de Tunis",L'Indicateur tunisien (Georges Balut / Imprimerie Rapide),cb47248171b,ark:/12148/cb47248171b,https://gallica.bnf.fr/ark:/12148/cb47248171b,Imprimerie Rapide (G. Balut),Tunis,1886,commercial_and_nominal_census,urban_and_commercial_establishments,"commune,centre_de_colonisation,caidat",nominal_enterprises_registry; professions_distribution; civil_servants_directory; notables_and_landowners; street_by_street_listings,"Annual colonial directory providing town-by-town nominal and professional censuses of all European and Tunisian merchants, industrialists, lawyers, doctors, and civil servants."
1888,1888-1950,Cartes topographiques régulières de la Tunisie au 1:50 000 et 1:100 000 (Service Géographique de l'Armée),Cartes et Plans de la Tunisie (SGA / IGN),cb407238210,ark:/12148/btv1b53024823p,https://gallica.bnf.fr/ark:/12148/btv1b53024823p,Service Géographique de l'Armée (SGA) / Ministère de la Guerre,Paris,1889,topocadastral_cartographic_census,complete_national_territory,"douar,gourbi_cluster,cheikhat,caidat",douars_footprint_locations; cheikhat_boundaries; springs_and_wells_coordinates; gourbi_isolated_dwellings; cultivated_perimeter_extent,"Fundamental spatial baseline providing the precise micro-geographical footprint, coordinates, and names of every isolated settlement, douar, well, and cheikhat boundary across the Regency."
1890,1890-10-15,Recensement de la vigne et du vignoble tunisien (Statistique viticole et des coopératives de vinification),"Direction générale de l'Agriculture, du Commerce et de la Colonisation",cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Imprimerie centrale,Tunis,1891-1954,Viticultural & Agricultural Census,"Cap Bon, Mornag, Zaghouan, Bizerte, Souk el-Arba","Contrôle Civil, Caïdat, Commune viticole","Superficie plantée en vigne (cépages nobles vs locaux), nationalité des exploitants (Français, Italiens, Tunisiens), production en hectolitres, caves coopératives","Key dataset on the Italian and French colonial viticultural economy, which generated high rural European density in Grombalia, Mornag, and Bizerte."
