cheikhat_id,name_fr,name_ar,parent_caidat,parent_controle_civil,hsu_id,region_macro,lat,lon,sga_50k_sheet,fiscal_status
CH_0001,Cheikhat Centre Tunis,مشيخة المركز ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8065,10.1815,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0002,Cheikhat Nord Tunis,مشيخة الشمال ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8565,10.2015,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0003,Cheikhat Sud Tunis,مشيخة الجنوب ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.7565,10.1615,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0004,Cheikhat Est Tunis,مشيخة الشرق ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8265,10.2415,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0005,Cheikhat Ouest Tunis,مشيخة الغرب ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.7865,10.1215,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0006,Cheikhat Oulad Mansour Tunis,مشيخة أولاد منصور ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8765,10.1415,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0007,Cheikhat Oulad Ali Tunis,مشيخة أولاد علي ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.7465,10.2315,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0008,Cheikhat Oulad Salem Tunis,مشيخة أولاد سالم ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8365,10.1015,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0009,Cheikhat Beni Zid Tunis,مشيخة بني زيد ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.7265,10.2115,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0010,Cheikhat El Ksar Tunis,مشيخة القصر ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.8165,10.1615,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
CH_0011,Cheikhat Zaouia Tunis,مشيخة الزاوية ت,Caïdat de TUNIS,TN_CC_TUNIS,HSU_TUNIS,North-East,36.7765,10.2215,Feuille Tunis (SGA No. 418),Soumis au Kanoun et à l'Achour
