unit_id,name_colonial,name_canonical_fr,name_canonical_ar,admin_level,parent_controle_civil,hsu_id,region_macro,is_urban_commune,modern_governorate_fr,modern_governorate_ar,centroid_lat,centroid_lon,notes
TN_CC_TUNIS,Contrôle civil de Tunis,Tunis,تونس,controle_civil,Tunis,HSU_TUNIS,North-East,False,Tunis,تونس,36.8065,10.1815,Capital district and surrounding banlieue
TN_CAID_BANLIEUE,Caïdat de la Banlieue de Tunis,Banlieue de Tunis,ضاحية تونس,caidat,Tunis,HSU_TUNIS,North-East,False,Tunis / Manouba / Ben Arous,تونس / منوبة / بن عروس,36.78,10.12,Rural and periurban hinterland of Tunis
TN_COM_TUNIS,Commune de Tunis,Tunis Ville,مدينة تونس,commune,Tunis,HSU_TUNIS,North-East,True,Tunis,تونس,36.8,10.18,"Municipality of Tunis (European city, Medina, Bab Souika, Bab El Jazira)"
TN_COM_GOULETTE,Commune de La Goulette,La Goulette,حلق الوادي,commune,Tunis,HSU_TUNIS,North-East,True,Tunis,تونس,36.8181,10.305,Port town with major Italian and Maltese population
TN_COM_MARSA,Commune de La Marsa,La Marsa,المرسى,commune,Tunis,HSU_TUNIS,North-East,True,Tunis,تونس,36.8764,10.3253,Coastal resort and Beylical residence
TN_COM_CARTHAGE,Commune de Carthage,Carthage,قرطاج,commune,Tunis,HSU_TUNIS,North-East,True,Tunis,تونس,36.8528,10.3233,Residential commune and archdiocese seat
TN_COM_RADES,Commune de Radès,Radès,رادس,commune,Tunis,HSU_TUNIS,North-East,True,Ben Arous,بن عروس,36.7686,10.2764,Southern suburban commune
TN_COM_HAMMAM_LIF,Commune de Hammam-Lif,Hammam-Lif,حمام الأنف,commune,Tunis,HSU_TUNIS,North-East,True,Ben Arous,بن عروس,36.73,10.34,Thermal coastal resort and Beylical palace
TN_COM_ARIANA,Commune de l'Ariana,Ariana,أريانة,commune,Tunis,HSU_TUNIS,North-East,True,Ariana,أريانة,36.8625,10.1956,Northern agricultural town becoming suburban commune
TN_CC_BIZERTE,Contrôle civil de Bizerte,Bizerte,بنزرت,controle_civil,Bizerte,HSU_BIZERTE,North-East,False,Bizerte,بنزرت,37.2744,9.8739,Northern maritime control district
TN_CAID_BIZERTE,Caïdat de Bizerte,Bizerte,بنزرت,caidat,Bizerte,HSU_BIZERTE,North-East,False,Bizerte,بنزرت,37.25,9.85,Native caïdat of Bizerte district
TN_CAID_MATEUR,Caïdat de Mateur,Mateur,ماطر,caidat,Bizerte,HSU_MATEUR,North-East,False,Bizerte,بنزرت,37.04,9.665,Agricultural cereal plain of Ichkeul-Mateur
TN_COM_BIZERTE,Commune de Bizerte,Bizerte Ville,مدينة بنزرت,commune,Bizerte,HSU_BIZERTE,North-East,True,Bizerte,بنزرت,37.2744,9.8739,Major naval port and European commercial city
TN_COM_MATEUR,Commune de Mateur,Mateur,ماطر,commune,Bizerte,HSU_MATEUR,North-East,True,Bizerte,بنزرت,37.04,9.665,Agricultural center municipality
TN_COM_FERRYVILLE,Commune de Ferryville,Menzel Bourguiba,منزل بورقيبة,commune,Bizerte,HSU_BIZERTE,North-East,True,Bizerte,بنزرت,37.1536,9.7858,Arsenal and naval military town created 1898
TN_COM_GHAR_EL_MELH,Commune de Porto-Farina,Ghar El Melh,غار الملح,commune,Bizerte,HSU_BIZERTE,North-East,True,Bizerte,بنزرت,37.1689,10.1878,Andalusian coastal fishing harbor
TN_COM_RAS_DJEBEL,Commune de Ras Djebel,Ras Djebel,رأس الجبل,commune,Bizerte,HSU_BIZERTE,North-East,True,Bizerte,بنزرت,37.2153,10.1206,Andalusian agricultural commune
TN_CAID_TEBOURBA,Caïdat de Tébourba,Tébourba,طبربة,caidat,Bizerte,HSU_TEBOURBA,North-East,False,Manouba,منوبة,36.83,9.84,Medjerda valley irrigated farming region
TN_COM_TEBOURBA,Commune de Tébourba,Tébourba,طبربة,commune,Bizerte,HSU_TEBOURBA,North-East,True,Manouba,منوبة,36.83,9.84,Municipal center of Lower Medjerda
TN_CC_BEJA,Contrôle civil de Béja,Béja,باجة,controle_civil,Béja,HSU_BEJA,North-West,False,Béja,باجة,36.7256,9.1817,Granary of Tunisia - Medjerda and Kroumirie foot-hills
TN_CAID_BEJA,Caïdat de Béja,Béja,باجة,caidat,Béja,HSU_BEJA,North-West,False,Béja,باجة,36.72,9.18,High-yielding wheat producing native jurisdiction
TN_CAID_MEDJEZ_EL_BAB,Caïdat de Medjez el-Bab,Medjez el-Bab,مجاز الباب,caidat,Béja,HSU_MEDJEZ_EL_BAB,North-West,False,Béja,باجة,36.65,9.61,Strategic Medjerda crossing and colonial concession zone
TN_CAID_NEFZA,Caïdat de Nefza,Nefza,نفزة,caidat,Béja,HSU_NEFZA,North-West,False,Béja,باجة,36.95,9.07,Forested coastal territory and mining region
TN_COM_BEJA,Commune de Béja,Béja Ville,مدينة باجة,commune,Béja,HSU_BEJA,North-West,True,Béja,باجة,36.7256,9.1817,Ancient and colonial town municipality
TN_COM_MEDJEZ_EL_BAB,Commune de Medjez el-Bab,Medjez el-Bab,مجاز الباب,commune,Béja,HSU_MEDJEZ_EL_BAB,North-West,True,Béja,باجة,36.65,9.61,Municipal center on railway and road junction
TN_COM_TESTOUR,Commune de Testour,Testour,تستور,commune,Béja,HSU_MEDJEZ_EL_BAB,North-West,True,Béja,باجة,36.5528,9.4444,Historic 17th-century Andalusian agricultural commune
TN_CC_SOUK_EL_ARBA,Contrôle civil de Souk el-Arba,Jendouba,جندوبة,controle_civil,Souk el-Arba,HSU_SOUK_EL_ARBA,North-West,False,Jendouba,جندوبة,36.5011,8.7803,Upper Medjerda & Kroumirie border region
TN_CAID_SOUK_EL_ARBA,Caïdat de Souk el-Arba,Jendouba,جندوبة,caidat,Souk el-Arba,HSU_SOUK_EL_ARBA,North-West,False,Jendouba,جندوبة,36.5,8.78,Major colonial cereal and livestock center
TN_CAID_SOUK_EL_KHEMIS,Caïdat de Souk el-Khemis,Boussalem,بوسالم,caidat,Souk el-Arba,HSU_SOUK_EL_KHEMIS,North-West,False,Jendouba,جندوبة,36.6111,8.9694,Rich alluvial agricultural plain of Bou Heurtma
TN_CAID_AIN_DRAHAM,Caïdat d'Aïn Draham,Aïn Draham,عين دراهم,caidat,Souk el-Arba,HSU_AIN_DRAHAM,North-West,False,Jendouba,جندوبة,36.78,8.69,Kroumirie cork-oak forest mountain jurisdiction
TN_CAID_TABARKA,Caïdat de Tabarka,Tabarka,طبرقة,caidat,Souk el-Arba,HSU_TABARKA,North-West,False,Jendouba,جندوبة,36.9544,8.7581,"Border port, coral fishery and cork export outlet"
TN_CAID_GHARDIMAOU,Caïdat de Ghardimaou,Ghardimaou,غار الدماء,caidat,Souk el-Arba,HSU_GHARDIMAOU,North-West,False,Jendouba,جندوبة,36.45,8.44,Algerian frontier jurisdiction on international railway
TN_COM_SOUK_EL_ARBA,Commune de Souk el-Arba,Jendouba Ville,مدينة جندوبة,commune,Souk el-Arba,HSU_SOUK_EL_ARBA,North-West,True,Jendouba,جندوبة,36.5011,8.7803,Colonial market hub and railway town
TN_COM_TABARKA,Commune de Tabarka,Tabarka,طبرقة,commune,Souk el-Arba,HSU_TABARKA,North-West,True,Jendouba,جندوبة,36.9544,8.7581,Port municipality
TN_COM_AIN_DRAHAM,Commune d'Aïn Draham,Aïn Draham,عين دراهم,commune,Souk el-Arba,HSU_AIN_DRAHAM,North-West,True,Jendouba,جندوبة,36.78,8.69,Mountain resort and forestry administration center
TN_CC_LE_KEF,Contrôle civil du Kef,Le Kef,الكاف,controle_civil,Le Kef,HSU_LE_KEF,North-West,False,Le Kef,الكاف,36.1742,8.7047,Haut-Tell western military and administrative anchor
