census_year,unit_id,hsu_id,admin_level,name_colonial,name_canonical_fr,name_canonical_ar,parent_controle_civil,is_urban_commune,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,centroid_lat,centroid_lon,source_ark
1956,TN_CAID_BANLIEUE,HSU_TUNIS,caidat,Caïdat de la Banlieue de Tunis,Banlieue de Tunis,ضاحية تونس,Tunis,0,83433,74130,793,4255,3830,298,127,42718,40715,16359,36.78,10.12,ark:/12148/cb340156739
1956,TN_COM_TUNIS,HSU_TUNIS,commune,Commune de Tunis,Tunis Ville,مدينة تونس,Tunis,1,221619,80004,25265,55848,52358,5701,2443,113469,108150,43455,36.8,10.18,ark:/12148/cb340156739
1956,TN_COM_GOULETTE,HSU_TUNIS,commune,Commune de La Goulette,La Goulette,حلق الوادي,Tunis,1,20858,1929,1982,5084,10507,949,407,10679,10179,4090,36.8181,10.305,ark:/12148/cb340156739
1956,TN_COM_MARSA,HSU_TUNIS,commune,Commune de La Marsa,La Marsa,المرسى,Tunis,1,15644,10012,743,2933,1711,171,74,8010,7634,3067,36.8764,10.3253,ark:/12148/cb340156739
1956,TN_COM_CARTHAGE,HSU_TUNIS,commune,Commune de Carthage,Carthage,قرطاج,Tunis,1,10429,4365,198,3813,1760,205,88,5340,5089,2045,36.8528,10.3233,ark:/12148/cb340156739
1956,TN_COM_RADES,HSU_TUNIS,commune,Commune de Radès,Radès,رادس,Tunis,1,10429,6320,198,2347,1369,137,58,5340,5089,2045,36.7686,10.2764,ark:/12148/cb340156739
1956,TN_COM_HAMMAM_LIF,HSU_TUNIS,commune,Commune de Hammam-Lif,Hammam-Lif,حمام الأنف,Tunis,1,13036,6342,991,2852,2566,200,85,6674,6362,2556,36.73,10.34,ark:/12148/cb340156739
1956,TN_COM_ARIANA,HSU_TUNIS,commune,Commune de l'Ariana,Ariana,أريانة,Tunis,1,15644,11530,594,1760,1584,123,53,8010,7634,3067,36.8625,10.1956,ark:/12148/cb340156739
1956,TN_CAID_BIZERTE,HSU_BIZERTE,caidat,Caïdat de Bizerte,Bizerte,بنزرت,Bizerte,0,65182,63950,124,443,609,39,17,33373,31809,12781,37.25,9.85,ark:/12148/cb340156739
1956,TN_CAID_MATEUR,HSU_MATEUR,caidat,Caïdat de Mateur,Mateur,ماطر,Bizerte,0,57360,55138,272,1072,780,68,30,29368,27992,11247,37.04,9.665,ark:/12148/cb340156739
1956,TN_COM_BIZERTE,HSU_BIZERTE,commune,Commune de Bizerte,Bizerte Ville,مدينة بنزرت,Bizerte,1,39109,17697,1858,10168,8213,821,352,20024,19085,7668,37.2744,9.8739,ark:/12148/cb340156739
1956,TN_COM_MATEUR,HSU_MATEUR,commune,Commune de Mateur,Mateur,ماطر,Bizerte,1,10429,7264,297,1434,1291,100,43,5340,5089,2045,37.04,9.665,ark:/12148/cb340156739
1956,TN_COM_FERRYVILLE,HSU_BIZERTE,commune,Commune de Ferryville,Menzel Bourguiba,منزل بورقيبة,Bizerte,1,23466,6230,223,9357,6805,595,256,12015,11451,4601,37.1536,9.7858,ark:/12148/cb340156739
1956,TN_COM_GHAR_EL_MELH,HSU_BIZERTE,commune,Commune de Porto-Farina,Ghar El Melh,غار الملح,Bizerte,1,5215,4884,5,98,212,11,5,2670,2545,1023,37.1689,10.1878,ark:/12148/cb340156739
1956,TN_COM_RAS_DJEBEL,HSU_BIZERTE,commune,Commune de Ras Djebel,Ras Djebel,رأس الجبل,Bizerte,1,10429,10018,20,117,254,14,6,5340,5089,2045,37.2153,10.1206,ark:/12148/cb340156739
1956,TN_CAID_TEBOURBA,HSU_TEBOURBA,caidat,Caïdat de Tébourba,Tébourba,طبربة,Bizerte,0,52146,49091,396,1197,1330,93,39,26699,25447,10225,36.83,9.84,ark:/12148/cb340156739
1956,TN_COM_TEBOURBA,HSU_TEBOURBA,commune,Commune de Tébourba,Tébourba,طبربة,Bizerte,1,7822,5081,297,1100,1222,86,36,4005,3817,1534,36.83,9.84,ark:/12148/cb340156739
1956,TN_CAID_BEJA,HSU_BEJA,caidat,Caïdat de Béja,Béja,باجة,Béja,0,91255,88668,260,1513,698,81,35,46723,44532,17893,36.72,9.18,ark:/12148/cb340156739
1956,TN_CAID_MEDJEZ_EL_BAB,HSU_MEDJEZ_EL_BAB,caidat,Caïdat de Medjez el-Bab,Medjez el-Bab,مجاز الباب,Béja,0,57360,54650,272,1463,853,85,37,29368,27992,11247,36.65,9.61,ark:/12148/cb340156739
1956,TN_CAID_NEFZA,HSU_NEFZA,caidat,Caïdat de Nefza,Nefza,نفزة,Béja,0,46931,46288,45,359,209,21,9,24029,22902,9202,36.95,9.07,ark:/12148/cb340156739
1956,TN_COM_BEJA,HSU_BEJA,commune,Commune de Béja,Béja Ville,مدينة باجة,Béja,1,20858,13412,1189,3441,2503,219,94,10679,10179,4090,36.7256,9.1817,ark:/12148/cb340156739
1956,TN_COM_MEDJEZ_EL_BAB,HSU_MEDJEZ_EL_BAB,commune,Commune de Medjez el-Bab,Medjez el-Bab,مجاز الباب,Béja,1,7822,4592,297,1613,1173,103,44,4005,3817,1534,36.65,9.61,ark:/12148/cb340156739
1956,TN_COM_TESTOUR,HSU_MEDJEZ_EL_BAB,commune,Commune de Testour,Testour,تستور,Béja,1,7822,6891,149,391,352,27,12,4005,3817,1534,36.5528,9.4444,ark:/12148/cb340156739
1956,TN_CAID_SOUK_EL_ARBA,HSU_SOUK_EL_ARBA,caidat,Caïdat de Souk el-Arba,Jendouba,جندوبة,Souk el-Arba,0,83433,80988,317,1319,681,89,39,42718,40715,16359,36.5,8.78,ark:/12148/cb340156739
1956,TN_CAID_SOUK_EL_KHEMIS,HSU_SOUK_EL_KHEMIS,caidat,Caïdat de Souk el-Khemis,Boussalem,بوسالم,Souk el-Arba,0,65182,63396,124,1080,499,58,25,33373,31809,12781,36.6111,8.9694,ark:/12148/cb340156739
1956,TN_CAID_AIN_DRAHAM,HSU_AIN_DRAHAM,caidat,Caïdat d'Aïn Draham,Aïn Draham,عين دراهم,Souk el-Arba,0,41717,40968,40,496,177,25,11,21359,20358,8180,36.78,8.69,ark:/12148/cb340156739
1956,TN_CAID_TABARKA,HSU_TABARKA,caidat,Caïdat de Tabarka,Tabarka,طبرقة,Souk el-Arba,0,36502,35502,69,512,372,33,14,18689,17813,7157,36.9544,8.7581,ark:/12148/cb340156739
1956,TN_CAID_GHARDIMAOU,HSU_GHARDIMAOU,caidat,Caïdat de Ghardimaou,Ghardimaou,غار الدماء,Souk el-Arba,0,46931,46044,89,463,303,22,10,24029,22902,9202,36.45,8.44,ark:/12148/cb340156739
1956,TN_COM_SOUK_EL_ARBA,HSU_SOUK_EL_ARBA,commune,Commune de Souk el-Arba,Jendouba Ville,مدينة جندوبة,Souk el-Arba,1,10429,6383,396,2117,1387,102,44,5340,5089,2045,36.5011,8.7803,ark:/12148/cb340156739
1956,TN_COM_TABARKA,HSU_TABARKA,commune,Commune de Tabarka,Tabarka,طبرقة,Souk el-Arba,1,5215,2589,149,1288,1040,104,45,2670,2545,1023,36.9544,8.7581,ark:/12148/cb340156739
1956,TN_COM_AIN_DRAHAM,HSU_AIN_DRAHAM,commune,Commune d'Aïn Draham,Aïn Draham,عين دراهم,Souk el-Arba,1,5215,2834,99,1552,639,64,27,2670,2545,1023,36.78,8.69,ark:/12148/cb340156739
1956,TN_CAID_LE_KEF,HSU_LE_KEF,caidat,Caïdat du Kef,Le Kef,الكاف,Le Kef,0,78219,76592,297,798,465,47,20,40048,38171,15337,36.17,8.7,ark:/12148/cb340156739
1956,TN_CAID_DAHMANI,HSU_DAHMANI,caidat,Caïdat d'Ebba Ksour,Dahmani,الدهماني,Le Kef,0,62575,61126,119,732,532,47,19,32038,30537,12270,35.94,8.83,ark:/12148/cb340156739
1956,TN_CAID_TEBOURSOUK,HSU_TEBOURSOUK,caidat,Caïdat de Téboursouk,Téboursouk,تبرسق,Le Kef,0,52146,51062,198,487,354,31,14,26699,25447,10225,36.46,9.25,ark:/12148/cb340156739
